season,episode,hotel,city,state,air_date,status,film_year,closing_year,two_parts
1,1,juniper hill inn,windsor,vt,2012-08-13,closed,2012,2014.0,yes
1,3,cambridge hotel,cambridge,ny,2012-08-20,closed,2012,2012.0,no
1,4,the keating hotel,san diego,ca,2012-08-27,open,2011,2022.0,no
1,5,river rock inn,milford,pa,2012-09-03,closed,2012,2014.0,no
1,6,the roosevelt inn,cour d'alene,id,2012-09-03,open,2012,2020.0,no
2,1,meson de mesilla,las cruces,nm,2014-07-21,open,2013,,no
2,2,monticello hotel,longview,wa,2014-07-28,closed,2013,2017.0,no
2,3,applegate river lodge,applegate,or,2014-08-04,open,2013,,no
2,4,hotel chester,starkville,ms,2014-08-11,open,2013,,no
2,5,calumet inn,pipestone,mn,2014-08-18,closed,2013,2022.0,no
2,6,four seasons inn,west dover,vt,2014-08-25,closed,2013,2022.0,no
2,7,curtis house,woodbury,ct,2014-09-01,closed,2013,2019.0,no
2,8,murphys hotel,murphys,ca,2014-09-09,open,2013,,no
3,1,angler's lodge,island park,id,2016-05-24,open,2015,,no
3,2,vienna inn,southbridge,ma,2016-05-31,closed,2015,2017.0,no
3,3,town's inn,harpers ferry,wv,2016-06-07,open,2015,,yes
3,5,lakeview hotel,chelan,wa,2016-06-21,closed,2015,2021.0,no
3,6,brick hotel,newtown,pa,2016-06-28,open,2015,,no
3,7,beachfront inn & inlet,fort pierce,fl,2016-07-19,closed,2015,2019.0,no
3,8,landoll's mohican castle,loudonville,oh,2016-07-26,open,2015,,no
